CONCEPT_NAME,TYPE,DT4HID,MODEL_TYPE,DATE
cyklotiazid,Medication,DT4H-Med193,DT4H,2024-06-01
triklorMedtiazid,Medication,DT4H-Med194,DT4H,2024-06-01
klorotiazidnatrium,Medication,DT4H-Med195,DT4H,2024-06-01
sulfonamiddiuretika,Medication,DT4H-Med2,DT4H,2024-06-01
indapamidhemihydrat,Medication,DT4H-Med201,DT4H,2024-06-01
Medfrusid,Medication,DT4H-Med202,DT4H,2024-06-01
klopamid,Medication,DT4H-Med203,DT4H,2024-06-01
xipamid,Medication,DT4H-Med204,DT4H,2024-06-01
indapamid,Medication,DT4H-Med207,DT4H,2024-06-01
Medtolazon,Medication,DT4H-Med209,DT4H,2024-06-01
etoxizolamid,Medication,DT4H-Med210,DT4H,2024-06-01
Medtazolamid,Medication,DT4H-Med211,DT4H,2024-06-01
tiaziddiuretika,Medication,DT4H-Med22,DT4H,2024-06-01
altiazid,Medication,DT4H-Med222,DT4H,2024-06-01
cyklopentiazid,Medication,DT4H-Med224,DT4H,2024-06-01
hydrofluMedtiazid,Medication,DT4H-Med225,DT4H,2024-06-01
hydroklortiazid,Medication,DT4H-Med226,DT4H,2024-06-01
bendrofluMedtiazid,Medication,DT4H-Med227,DT4H,2024-06-01
polytiazid,Medication,DT4H-Med228,DT4H,2024-06-01
Medtyklotiazid,Medication,DT4H-Med229,DT4H,2024-06-01
urinsyradrivande Medel,Medication,DT4H-Med24,DT4H,2024-06-01
lesinurad,Medication,DT4H-Med241,DT4H,2024-06-01
bensbromaron,Medication,DT4H-Med242,DT4H,2024-06-01
azapropazon,Medication,DT4H-Med243,DT4H,2024-06-01
probenecid,Medication,DT4H-Med244,DT4H,2024-06-01
sulfinpyrazon,Medication,DT4H-Med245,DT4H,2024-06-01
loopdiuretikum,Medication,DT4H-MedL1,DT4H,2024-06-01
piretanid,Medication,DT4H-MedL101,DT4H,2024-06-01
kalciumkanalblockerare,Medication,DT4H-MedC1,DT4H,2024-06-01
terodilinhydroklorid,Medication,DT4H-MedC104,DT4H,2024-06-01
gabapentinenakarbil,Medication,DT4H-MedC105,DT4H,2024-06-01
pinaveriumbromid,Medication,DT4H-MedC106,DT4H,2024-06-01
perhexilin,Medication,DT4H-MedC107,DT4H,2024-06-01
mibefradil,Medication,DT4H-MedC108,DT4H,2024-06-01
terodilin,Medication,DT4H-MedC109,DT4H,2024-06-01
prenylamin,Medication,DT4H-MedC110,DT4H,2024-06-01
gabapentin,Medication,DT4H-MedC111,DT4H,2024-06-01
bensotiazepin,Medication,DT4H-MedC12,DT4H,2024-06-01
diltiazemmaleat,Medication,DT4H-MedC121,DT4H,2024-06-01
diltiazem,Medication,DT4H-MedC122,DT4H,2024-06-01
diltiazemhydroklorid,Medication,DT4H-MedC123,DT4H,2024-06-01
diarylaminopropylamin,Medication,DT4H-MedC13,DT4H,2024-06-01
bepridil,Medication,DT4H-MedC131,DT4H,2024-06-01
bepridilhydroklorid,Medication,DT4H-MedC132,DT4H,2024-06-01
fenylalkylamin,Medication,DT4H-MedC14,DT4H,2024-06-01
gallopamilhydroklorid,Medication,DT4H-MedC141,DT4H,2024-06-01
gallopamil,Medication,DT4H-MedC142,DT4H,2024-06-01
verapamil,Medication,DT4H-MedC143,DT4H,2024-06-01
norverapamil,Medication,DT4H-MedC144,DT4H,2024-06-01
verapamilhydroklorid,Medication,DT4H-MedC145,DT4H,2024-06-01
kalciumkanalblockerare innehållande piperazinderivat,Medication,DT4H-MedC15,DT4H,2024-06-01
lidoflazin,Medication,DT4H-MedC151,DT4H,2024-06-01
kalciumkanalblockerare innehållande dihydropyridinderivat,Medication,DT4H-MedC16,DT4H,2024-06-01
levamlodipinbesilat,Medication,DT4H-MedC162,DT4H,2024-06-01
levamlodipin,Medication,DT4H-MedC163,DT4H,2024-06-01
amlodipinMedsilat,Medication,DT4H-MedC164,DT4H,2024-06-01
cilnidipin,Medication,DT4H-MedC165,DT4H,2024-06-01
amlodipinbensoat,Medication,DT4H-MedC166,DT4H,2024-06-01
manidipinhydroklorid,Medication,DT4H-MedC167,DT4H,2024-06-01
manidipin,Medication,DT4H-MedC168,DT4H,2024-06-01
nilvadipin,Medication,DT4H-MedC169,DT4H,2024-06-01
barnidipin,Medication,DT4H-MedC170,DT4H,2024-06-01
nitrendipin,Medication,DT4H-MedC171,DT4H,2024-06-01
clevidipin,Medication,DT4H-MedC172,DT4H,2024-06-01
amlodipinmaleat,Medication,DT4H-MedC173,DT4H,2024-06-01
lerkanidipin,Medication,DT4H-MedC174,DT4H,2024-06-01
lerkanidipinhydroklorid,Medication,DT4H-MedC175,DT4H,2024-06-01
lacidipin,Medication,DT4H-MedC176,DT4H,2024-06-01
nimodipin,Medication,DT4H-MedC177,DT4H,2024-06-01
nifedipin,Medication,DT4H-MedC178,DT4H,2024-06-01
amlodipin,Medication,DT4H-MedC179,DT4H,2024-06-01
felodipin,Medication,DT4H-MedC180,DT4H,2024-06-01
isradipin,Medication,DT4H-MedC181,DT4H,2024-06-01
nisoldipin,Medication,DT4H-MedC182,DT4H,2024-06-01
amlodipinbesilat,Medication,DT4H-MedC183,DT4H,2024-06-01
nikardipin,Medication,DT4H-MedC184,DT4H,2024-06-01
nikardipinhydroklorid,Medication,DT4H-MedC185,DT4H,2024-06-01
nitratbaserat kärlvidgande Medel,Medication,DT4H-MedV11,DT4H,2024-06-01
"1,2-dinitroglycerin",Medication,DT4H-MedV111,DT4H,2024-06-01
nitroglycerin,Medication,DT4H-MedV112,DT4H,2024-06-01
isosorbiddinitrat,Medication,DT4H-MedV113,DT4H,2024-06-01
amylnitrit,Medication,DT4H-MedV114,DT4H,2024-06-01
isosorbidmononitrat,Medication,DT4H-MedV115,DT4H,2024-06-01
pentaerytritoltetranitrat,Medication,DT4H-MedV116,DT4H,2024-06-01
erytrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
amylnitrat,Medication,DT4H-MedV118,DT4H,2024-06-01
inositolhexanitrat,Medication,DT4H-MedV119,DT4H,2024-06-01
,,,,
FluMedtiazid,Medication,DT4H-Med119,DT4H,2024-06-01
Klortiazidnatrium,Medication,DT4H-Med195,DT4H,2024-06-01
TriklorMedtiazid,Medication,DT4H-Med194,DT4H,2024-06-01
Diltiazemhydroklorid,Medication,DT4H-MedC123,DT4H,2024-06-01
Latiazem hydroklorid,Medication,DT4H-MedC123,DT4H,2024-06-01
Inositolhexanitrat,Medication,DT4H-MedV119,DT4H,2024-06-01
Ipoveratril hydroklorid,Medication,DT4H-MedC145,DT4H,2024-06-01
MedrcaptoMedrin natrium,Medication,DT4H-Med138,DT4H,2024-06-01
Medrcumatilin,Medication,DT4H-Med137,DT4H,2024-06-01
Cyklotiazid,Medication,DT4H-Med193,DT4H,2024-06-01
AmisoMedtradin,Medication,DT4H-Med113,DT4H,2024-06-01
Amylnitrit,Medication,DT4H-MedV118,DT4H,2024-06-01
Quinethazone,Medication,DT4H-Med192,DT4H,2024-06-01
Diuretikum Med sulfonamid,Medication,DT4H-Med2,DT4H,2024-06-01
Enalaprilat,Medication,DT4H-MedR165,DT4H,2024-06-01
Medrethoxyllinprokain,Medication,DT4H-Med136,DT4H,2024-06-01
Medtazolamid,Medication,DT4H-Med211,DT4H,2024-06-01
Erytrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Erytritoltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Etoxyzolamid,Medication,DT4H-Med210,DT4H,2024-06-01
Benztiazid,Medication,DT4H-Med190,DT4H,2024-06-01
KlorMedrodrin,Medication,DT4H-Med135,DT4H,2024-06-01
Etakrynatnatrium,Medication,DT4H-Med189,DT4H,2024-06-01
Teobromin,Medication,DT4H-Med172,DT4H,2024-06-01
AminoMedtradin,Medication,DT4H-Med112,DT4H,2024-06-01
Medralluride,Medication,DT4H-Med134,DT4H,2024-06-01
Klorazanil,Medication,DT4H-Med114,DT4H,2024-06-01
Canrenone,Medication,DT4H-MedM115,DT4H,2024-06-01
Norverapamil,Medication,DT4H-MedC144,DT4H,2024-06-01
Torsemid,Medication,DT4H-Med187,DT4H,2024-06-01
Nikardipinhydroklorid,Medication,DT4H-MedC185,DT4H,2024-06-01
Bepridilhydroklorid,Medication,DT4H-MedC132,DT4H,2024-06-01
Moexiprilhydroklorid,Medication,DT4H-MedR164,DT4H,2024-06-01
Fosinopril natrium,Medication,DT4H-MedR163,DT4H,2024-06-01
Benazeprilhydroklorid,Medication,DT4H-MedR162,DT4H,2024-06-01
Losartan kalium,Medication,DT4H-MedR127,DT4H,2024-06-01
Pamabrom,Medication,DT4H-Med120,DT4H,2024-06-01
Eprosartan Medsylat,Medication,DT4H-MedR126,DT4H,2024-06-01
MedrcaptoMedrin - kemisk,Medication,DT4H-Med133,DT4H,2024-06-01
Diuretikum Med sulfonamid,Medication,DT4H-Med2,DT4H,2024-06-01
Eritrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Tienilsyra,Medication,DT4H-Med191,DT4H,2024-06-01
Nikardipin,Medication,DT4H-MedC184,DT4H,2024-06-01
Bepridil,Medication,DT4H-MedC131,DT4H,2024-06-01
Fosinopril,Medication,DT4H-MedR160,DT4H,2024-06-01
Benazepril,Medication,DT4H-MedR159,DT4H,2024-06-01
Candesartan,Medication,DT4H-MedR125,DT4H,2024-06-01
Enalapril,Medication,DT4H-MedR158,DT4H,2024-06-01
Nitratbaserat vasodilaterande Medel,Medication,DT4H-MedV11,DT4H,2024-06-01
Acetazolamid,Medication,DT4H-Med111,DT4H,2024-06-01
Diuretikum av typen tiazid,Medication,DT4H-Med22,DT4H,2024-06-01
Kaliumsparande diuretikum,Medication,DT4H-Med15,DT4H,2024-06-01
Verapamil,Medication,DT4H-MedC143,DT4H,2024-06-01
Urikosuriskt Medel,Medication,DT4H-Med24,DT4H,2024-06-01
Klortiazid,Medication,DT4H-Med186,DT4H,2024-06-01
Osmotiskt diuretikum,Medication,DT4H-Med14,DT4H,2024-06-01
Diltiazem,Medication,DT4H-MedC122,DT4H,2024-06-01
Perindopril,Medication,DT4H-MedR157,DT4H,2024-06-01
Moexipril,Medication,DT4H-MedR156,DT4H,2024-06-01
Losartan,Medication,DT4H-MedR124,DT4H,2024-06-01
Medrcurial diuretikum,Medication,DT4H-Med13,DT4H,2024-06-01
Perindopril tert-butylamin,Medication,DT4H-MedR161,DT4H,2024-06-01
Eritrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Tienilsyra,Medication,DT4H-Med191,DT4H,2024-06-01
Sulfinpyrazon,Medication,DT4H-Med245,DT4H,2024-06-01
Sulfinpyrazon,Medication,DT4H-Med245,DT4H,2024-06-01
Amlodipin besilat,Medication,DT4H-MedC183,DT4H,2024-06-01
Gabapentin,Medication,DT4H-MedC111,DT4H,2024-06-01
Isosorbid,Medication,DT4H-Med143,DT4H,2024-06-01
Isosorbidmononitrat,Medication,DT4H-MedV115,DT4H,2024-06-01
Nisoldipin,Medication,DT4H-MedC182,DT4H,2024-06-01
Isradipin,Medication,DT4H-MedC181,DT4H,2024-06-01
Felodipin,Medication,DT4H-MedC180,DT4H,2024-06-01
Amlodipin,Medication,DT4H-MedC179,DT4H,2024-06-01
Trandolapril,Medication,DT4H-MedR155,DT4H,2024-06-01
Ramipril,Medication,DT4H-MedR154,DT4H,2024-06-01
Lisinopril,Medication,DT4H-MedR153,DT4H,2024-06-01
Quinapril,Medication,DT4H-MedR152,DT4H,2024-06-01
Quinaprilhydroklorid,Medication,DT4H-MedR151,DT4H,2024-06-01
Valsartan,Medication,DT4H-MedR123,DT4H,2024-06-01
Irbesartan,Medication,DT4H-MedR122,DT4H,2024-06-01
Candesartan cilexetil,Medication,DT4H-MedR121,DT4H,2024-06-01
Amylnitrit,Medication,DT4H-MedV114,DT4H,2024-06-01
Triamterene,Medication,DT4H-Med159,DT4H,2024-06-01
Telmisartan,Medication,DT4H-MedR120,DT4H,2024-06-01
Spironolakton,Medication,DT4H-MedM114,DT4H,2024-06-01
Medtolazon,Medication,DT4H-Med209,DT4H,2024-06-01
Medrsalyl,Medication,DT4H-Med132,DT4H,2024-06-01
Captopril,Medication,DT4H-MedR150,DT4H,2024-06-01
Enalapril maleat,Medication,DT4H-MedR149,DT4H,2024-06-01
Mannitol,Medication,DT4H-Med141,DT4H,2024-06-01
Prenylamin,Medication,DT4H-MedC110,DT4H,2024-06-01
Klorthalidone,Medication,DT4H-Med184,DT4H,2024-06-01
Probenecid,Medication,DT4H-Med244,DT4H,2024-06-01
Medtyklotiazid,Medication,DT4H-Med229,DT4H,2024-06-01
Indapamid,Medication,DT4H-Med207,DT4H,2024-06-01
Furosemid,Medication,DT4H-Med183,DT4H,2024-06-01
Oxtriphylline,Medication,DT4H-Med171,DT4H,2024-06-01
Nifedipin,Medication,DT4H-MedC178,DT4H,2024-06-01
Polytiazid,Medication,DT4H-Med228,DT4H,2024-06-01
BuMedtanid,Medication,DT4H-Med182,DT4H,2024-06-01
Amilorid,Medication,DT4H-Med157,DT4H,2024-06-01
Amiloridhydroklorid,Medication,DT4H-Med156,DT4H,2024-06-01
Azapropazon - kemikalie,Medication,DT4H-Med243,DT4H,2024-06-01
Imidaprilhydroklorid,Medication,DT4H-MedR148,DT4H,2024-06-01
Lacidipin,Medication,DT4H-MedC176,DT4H,2024-06-01
Lerkanidipinhydroklorid,Medication,DT4H-MedC175,DT4H,2024-06-01
Medrsalylnatrium,Medication,DT4H-Med131,DT4H,2024-06-01
Xipamid,Medication,DT4H-Med204,DT4H,2024-06-01
Klopamid,Medication,DT4H-Med203,DT4H,2024-06-01
HydrofluMedtiazid,Medication,DT4H-Med225,DT4H,2024-06-01
Cilazapril,Medication,DT4H-MedR147,DT4H,2024-06-01
Imidapril,Medication,DT4H-MedR146,DT4H,2024-06-01
Lerkanidipin,Medication,DT4H-MedC174,DT4H,2024-06-01
Cyklopenthiazid,Medication,DT4H-Med224,DT4H,2024-06-01
Eprosartan,Medication,DT4H-MedR119,DT4H,2024-06-01
PETN,Medication,DT4H-MedV116,DT4H,2024-06-01
Karbamid,Medication,DT4H-Med142,DT4H,2024-06-01
D-mannitol,Medication,DT4H-Med141,DT4H,2024-06-01
ISD,Medication,DT4H-MedV113,DT4H,2024-06-01
Glyceryltrinitrat,Medication,DT4H-MedV112,DT4H,2024-06-01
Nitroglycerol,Medication,DT4H-MedV112,DT4H,2024-06-01
Frusemid,Medication,DT4H-Med183,DT4H,2024-06-01
Bay-e 9736,Medication,DT4H-MedC177,DT4H,2024-06-01
Bendrofluazid,Medication,DT4H-Med227,DT4H,2024-06-01
BensydrofluMedtiazid,Medication,DT4H-Med227,DT4H,2024-06-01
HCTZ,Medication,DT4H-Med226,DT4H,2024-06-01
Eritrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Tienilsyra,Medication,DT4H-Med191,DT4H,2024-06-01
Fenylalkylamin,Medication,DT4H-MedC14,DT4H,2024-06-01
Benzothiazepine,Medication,DT4H-MedC12,DT4H,2024-06-01
Diarylaminopropylamin,Medication,DT4H-MedC13,DT4H,2024-06-01
Dihydropyridin,Medication,DT4H-MedC16,DT4H,2024-06-01
Medfruside,Medication,DT4H-Med202,DT4H,2024-06-01
Eplerenon,Medication,DT4H-MedM113,DT4H,2024-06-01
Diltiazemmaleat,Medication,DT4H-MedC121,DT4H,2024-06-01
Amiloridhydroklorid dihydrat,Medication,DT4H-Med154,DT4H,2024-06-01
OlMedsartan,Medication,DT4H-MedR118,DT4H,2024-06-01
OlMedsartan Medoxomil,Medication,DT4H-MedR117,DT4H,2024-06-01
Acetazolamid - kemisk,Medication,DT4H-Med111,DT4H,2024-06-01
Pentaeritritrityltetranitrat,Medication,DT4H-MedV116,DT4H,2024-06-01
Klortalidon,Medication,DT4H-Med184,DT4H,2024-06-01
Terodilin,Medication,DT4H-MedC109,DT4H,2024-06-01
Piperazin-derivat kalciumkanalblockerare,Medication,DT4H-MedC15,DT4H,2024-06-01
Lidoflazin,Medication,DT4H-MedC151,DT4H,2024-06-01
Diuretikum av purinderivat,Medication,DT4H-Med17,DT4H,2024-06-01
Piretanid,Medication,DT4H-MedL101,DT4H,2024-06-01
Kaliumkanrenoat,Medication,DT4H-MedM112,DT4H,2024-06-01
Teofyllinat av kolin,Medication,DT4H-Med171,DT4H,2024-06-01
Conivaptan,Medication,DT4H-Med117,DT4H,2024-06-01
Mibefradil,Medication,DT4H-MedC108,DT4H,2024-06-01
Amlodipinmaleat,Medication,DT4H-MedC173,DT4H,2024-06-01
Perhexilin,Medication,DT4H-MedC107,DT4H,2024-06-01
Saluretikum - kemiskt,Medication,DT4H-Med18,DT4H,2024-06-01
Amlodipin besylat,Medication,DT4H-MedC183,DT4H,2024-06-01
Aliskiren,Medication,DT4-MedR171,DT4H,2024-06-01
Eprosartan Medsilate,Medication,DT4H-MedR126,DT4H,2024-06-01
Azapropazon,Medication,DT4H-Med243,DT4H,2024-06-01
Kalciumkanalblockerare av dihydropyridinderivat,Medication,DT4H-MedC16,DT4H,2024-06-01
Perindopril arginin,Medication,DT4H-MedR145,DT4H,2024-06-01
Tolvaptan,Medication,DT4H-Med121,DT4H,2024-06-01
Nitrendipin,Medication,DT4H-MedC171,DT4H,2024-06-01
Azilsartan,Medication,DT4H-MedR116,DT4H,2024-06-01
Azilsartan Medoxomil,Medication,DT4H-MedR115,DT4H,2024-06-01
Pinaveriumbromid,Medication,DT4H-MedC106,DT4H,2024-06-01
Bensbromaron,Medication,DT4H-Med242,DT4H,2024-06-01
Barnidipin,Medication,DT4H-MedC170,DT4H,2024-06-01
Alindapril,Medication,DT4H-MedR144,DT4H,2024-06-01
Delaprilhydroklorid,Medication,DT4H-MedR143,DT4H,2024-06-01
Karbonyldiamid,Medication,DT4H-Med142,DT4H,2024-06-01
Gabapentin enacarbil,Medication,DT4H-MedC105,DT4H,2024-06-01
Zofenoprilat,Medication,DT4H-MedR140,DT4H,2024-06-01
Zofenoprilat arginin,Medication,DT4H-MedR139,DT4H,2024-06-01
Zofenopril kalcium,Medication,DT4H-MedR141,DT4H,2024-06-01
Zofenopril,Medication,DT4H-MedR142,DT4H,2024-06-01
Gallopamilhydroklorid,Medication,DT4H-MedC141,DT4H,2024-06-01
Gallopamil,Medication,DT4H-MedC142,DT4H,2024-06-01
Nilvadipin,Medication,DT4H-MedC169,DT4H,2024-06-01
Spirapril,Medication,DT4H-MedR138,DT4H,2024-06-01
Lesinurad,Medication,DT4H-Med241,DT4H,2024-06-01
Altizid,Medication,DT4H-Med222,DT4H,2024-06-01
Clevidipinbutyrat,Medication,DT4H-MedC172,DT4H,2024-06-01
"1,2-Dinitroglycerin",Medication,DT4H-MedV111,DT4H,2024-06-01
Dinitroglycerol,Medication,DT4H-MedV111,DT4H,2024-06-01
"Glyceryl-1,2-dinitrat",Medication,DT4H-MedV111,DT4H,2024-06-01
Cilazapril monohydrat,Medication,DT4H-MedR137,DT4H,2024-06-01
Indapamid hemihydrat,Medication,DT4H-Med201,DT4H,2024-06-01
Irbesartanhydroklorid,Medication,DT4H-MedR114,DT4H,2024-06-01
Cykletanid,Medication,DT4H-Med115,DT4H,2024-06-01
Cicletaninhydroklorid,Medication,DT4H-Med116,DT4H,2024-06-01
Cykletanidhydroklorid,Medication,DT4H-Med116,DT4H,2024-06-01
Perindopril tosilat,Medication,DT4H-MedR136,DT4H,2024-06-01
Substans Med reninhämmande verkningsMedkanism,Medication,DT4-MedR17,DT4H,2024-06-01
Manidipin,Medication,DT4H-MedC168,DT4H,2024-06-01
Manidipinhydroklorid,Medication,DT4H-MedC167,DT4H,2024-06-01
Piperazinderivat Med kalciumkanalblockerande verkningsMedkanism,Medication,DT4H-MedC15,DT4H,2024-06-01
Torasemid,Medication,DT4H-Med187,DT4H,2024-06-01
Terodilinhydroklorid,Medication,DT4H-MedC104,DT4H,2024-06-01
Aliskiren hemifumarat,Medication,DT4-MedR172,DT4H,2024-06-01
Amlodipin bensoat,Medication,DT4H-MedC166,DT4H,2024-06-01
Azilsartan Medoxomil kalium,Medication,DT4H-MedR113,DT4H,2024-06-01
Enalapril natrium,Medication,DT4H-MedR135,DT4H,2024-06-01
Perindopril erbumin monohydrat,Medication,DT4H-MedR134,DT4H,2024-06-01
Finerenone,Medication,DT4H-MedM111,DT4H,2024-06-01
Cilnidipin,Medication,DT4H-MedC165,DT4H,2024-06-01
Amlodipin Medsilat,Medication,DT4H-MedC164,DT4H,2024-06-01
S-amlodipin,Medication,DT4H-MedC163,DT4H,2024-06-01
(S)-amlodipin,Medication,DT4H-MedC163,DT4H,2024-06-01
(S)-amlodipinbesilat,Medication,DT4H-MedC162,DT4H,2024-06-01
S-amlodipin besylat,Medication,DT4H-MedC162,DT4H,2024-06-01
Levamlodipin besilat,Medication,DT4H-MedC162,DT4H,2024-06-01
Amiloridhydroklorid vattenfri,Medication,DT4H-Med151,DT4H,2024-06-01
Cilazapril vattenfri,Medication,DT4H-MedR133,DT4H,2024-06-01
Lisinopril vattenfri,Medication,DT4H-MedR132,DT4H,2024-06-01
Benidipinhydroklorid,Medication,DT4H-MedC103,DT4H,2024-06-01
Benidipin,Medication,DT4H-MedC102,DT4H,2024-06-01
Lerkanidipinhydroklorid hemihydrat,Medication,DT4H-MedC161,DT4H,2024-06-01
Perhexilinmaleat,Medication,DT4H-MedC101,DT4H,2024-06-01
Fimasartan,Medication,DT4H-MedR112,DT4H,2024-06-01
Fimasartan kaliumtrihydrat,Medication,DT4H-MedR111,DT4H,2024-06-01
FluMedtiazid,Medication,DT4H-Med119,DT4H,2024-06-01
Klortiazidnatrium,Medication,DT4H-Med195,DT4H,2024-06-01
TriklorMedtiazid,Medication,DT4H-Med194,DT4H,2024-06-01
Diltiazemhydroklorid,Medication,DT4H-MedC123,DT4H,2024-06-01
Latiazem hydroklorid,Medication,DT4H-MedC123,DT4H,2024-06-01
Inositolhexanitrat,Medication,DT4H-MedV119,DT4H,2024-06-01
Ipoveratril hydroklorid,Medication,DT4H-MedC145,DT4H,2024-06-01
MedrcaptoMedrin natrium,Medication,DT4H-Med138,DT4H,2024-06-01
Medrcumatilin,Medication,DT4H-Med137,DT4H,2024-06-01
Cyklotiazid,Medication,DT4H-Med193,DT4H,2024-06-01
AmisoMedtradin,Medication,DT4H-Med113,DT4H,2024-06-01
Amylnitrit,Medication,DT4H-MedV118,DT4H,2024-06-01
Quinethazone,Medication,DT4H-Med192,DT4H,2024-06-01
Diuretikum Med sulfonamid,Medication,DT4H-Med2,DT4H,2024-06-01
Enalaprilat,Medication,DT4H-MedR165,DT4H,2024-06-01
Medrethoxyllinprokain,Medication,DT4H-Med136,DT4H,2024-06-01
Medtazolamid,Medication,DT4H-Med211,DT4H,2024-06-01
Erytrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Erytritoltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Etoxyzolamid,Medication,DT4H-Med210,DT4H,2024-06-01
Benztiazid,Medication,DT4H-Med190,DT4H,2024-06-01
KlorMedrodrin,Medication,DT4H-Med135,DT4H,2024-06-01
Etakrynatnatrium,Medication,DT4H-Med189,DT4H,2024-06-01
Teobromin,Medication,DT4H-Med172,DT4H,2024-06-01
AminoMedtradin,Medication,DT4H-Med112,DT4H,2024-06-01
Medralluride,Medication,DT4H-Med134,DT4H,2024-06-01
Klorazanil,Medication,DT4H-Med114,DT4H,2024-06-01
Canrenone,Medication,DT4H-MedM115,DT4H,2024-06-01
Norverapamil,Medication,DT4H-MedC144,DT4H,2024-06-01
Torsemid,Medication,DT4H-Med187,DT4H,2024-06-01
Nikardipinhydroklorid,Medication,DT4H-MedC185,DT4H,2024-06-01
Bepridilhydroklorid,Medication,DT4H-MedC132,DT4H,2024-06-01
Moexiprilhydroklorid,Medication,DT4H-MedR164,DT4H,2024-06-01
Fosinopril natrium,Medication,DT4H-MedR163,DT4H,2024-06-01
Benazeprilhydroklorid,Medication,DT4H-MedR162,DT4H,2024-06-01
Losartan kalium,Medication,DT4H-MedR127,DT4H,2024-06-01
Pamabrom,Medication,DT4H-Med120,DT4H,2024-06-01
Eprosartan Medsylat,Medication,DT4H-MedR126,DT4H,2024-06-01
MedrcaptoMedrin - kemisk,Medication,DT4H-Med133,DT4H,2024-06-01
Diuretikum Med sulfonamid,Medication,DT4H-Med2,DT4H,2024-06-01
Eritrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Tienilsyra,Medication,DT4H-Med191,DT4H,2024-06-01
Nikardipin,Medication,DT4H-MedC184,DT4H,2024-06-01
Bepridil,Medication,DT4H-MedC131,DT4H,2024-06-01
Fosinopril,Medication,DT4H-MedR160,DT4H,2024-06-01
Benazepril,Medication,DT4H-MedR159,DT4H,2024-06-01
Candesartan,Medication,DT4H-MedR125,DT4H,2024-06-01
Enalapril,Medication,DT4H-MedR158,DT4H,2024-06-01
Nitratbaserat vasodilaterande Medel,Medication,DT4H-MedV11,DT4H,2024-06-01
Acetazolamid,Medication,DT4H-Med111,DT4H,2024-06-01
Diuretikum av typen tiazid,Medication,DT4H-Med22,DT4H,2024-06-01
Kaliumsparande diuretikum,Medication,DT4H-Med15,DT4H,2024-06-01
Verapamil,Medication,DT4H-MedC143,DT4H,2024-06-01
Urikosuriskt Medel,Medication,DT4H-Med24,DT4H,2024-06-01
Klortiazid,Medication,DT4H-Med186,DT4H,2024-06-01
Osmotiskt diuretikum,Medication,DT4H-Med14,DT4H,2024-06-01
Diltiazem,Medication,DT4H-MedC122,DT4H,2024-06-01
Perindopril,Medication,DT4H-MedR157,DT4H,2024-06-01
Moexipril,Medication,DT4H-MedR156,DT4H,2024-06-01
Losartan,Medication,DT4H-MedR124,DT4H,2024-06-01
Medrcurial diuretikum,Medication,DT4H-Med13,DT4H,2024-06-01
Perindopril tert-butylamin,Medication,DT4H-MedR161,DT4H,2024-06-01
Eritrityltetranitrat,Medication,DT4H-MedV117,DT4H,2024-06-01
Tienilsyra,Medication,DT4H-Med191,DT4H,2024-06-01
Sulfinpyrazon,Medication,DT4H-Med245,DT4H,2024-06-01
Sulfinpyrazon,Medication,DT4H-Med245,DT4H,2024-06-01
Amlodipin besilat,Medication,DT4H-MedC183,DT4H,2024-06-01
Gabapentin,Medication,DT4H-MedC111,DT4H,2024-06-01
Isosorbid,Medication,DT4H-Med143,DT4H,2024-06-01
Isosorbidmononitrat,Medication,DT4H-MedV115,DT4H,2024-06-01
Nisoldipin,Medication,DT4H-MedC182,DT4H,2024-06-01
Isradipin,Medication,DT4H-MedC181,DT4H,2024-06-01
Felodipin,Medication,DT4H-MedC180,DT4H,2024-06-01
Amlodipin,Medication,DT4H-MedC179,DT4H,2024-06-01
Trandolapril,Medication,DT4H-MedR155,DT4H,2024-06-01
Ramipril,Medication,DT4H-MedR154,DT4H,2024-06-01
Lisinopril,Medication,DT4H-MedR153,DT4H,2024-06-01
Quinapril,Medication,DT4H-MedR152,DT4H,2024-06-01
Quinaprilhydroklorid,Medication,DT4H-MedR151,DT4H,2024-06-01
Valsartan,Medication,DT4H-MedR123,DT4H,2024-06-01
Irbesartan,Medication,DT4H-MedR122,DT4H,2024-06-01
Candesartan cilexetil,Medication,DT4H-MedR121,DT4H,2024-06-01
Amylnitrit,Medication,DT4H-MedV114,DT4H,2024-06-01
Triamterene,Medication,DT4H-Med159,DT4H,2024-06-01
Telmisartan,Medication,DT4H-MedR120,DT4H,2024-06-01
Spironolakton,Medication,DT4H-MedM114,DT4H,2024-06-01
Medtolazon,Medication,DT4H-Med209,DT4H,2024-06-01
Medrsalyl,Medication,DT4H-Med132,DT4H,2024-06-01
Captopril,Medication,DT4H-MedR150,DT4H,2024-06-01
Enalapril maleat,Medication,DT4H-MedR149,DT4H,2024-06-01
